Legend:,,,,Player,Age,MP,Start,Min,Gls,A,PK,PKatt,CrdY,CrdR,G*,A*,G*+A*,G*-PK*,G*+A*-PK*,xG,NPxG,xA,xG*,xA*,xG*+xA*,NPxG*,NPxG*+xA*,Total Points,Conceded,CleanSheets,CleanSheets*,PenMiss,PenMiss*,YC*,RC*,,
,,,256,Manuel Lanzini,25,10,8,686,1,1,0,0,2,0,0.13,0.13,0.26,0.13,0.26,1.3,1.3,1.1,0.17,0.14,0.31,0.17,0.31,31,12,2,0.26,0,0.000,0.262,0.000,,
,,,257,Aymeric Laporte,24,35,34,3057,3,3,0,0,3,0,0.09,0.09,0.18,0.09,0.18,2.2,2.2,1.1,0.06,0.03,0.1,0.06,0.1,177,21,18,0.53,0,0.000,0.088,0.000,,
,,,258,Jamaal Lascelles,24,32,32,2745,0,1,0,0,4,0,0,0.03,0.03,0,0.03,0.5,0.5,0.3,0.02,0.01,0.03,0.02,0.03,95,36,10,0.33,0,0.000,0.131,0.000,,
,,,259,Maxime Le Marchand,28,26,25,2250,0,1,0,0,5,0,0,0.04,0.04,0,0.04,0.2,0.2,0.6,0.01,0.02,0.03,0.01,0.03,38,53,3,0.12,0,0.000,0.200,0.000,,
,,,260,Florian Lejeune,27,12,12,1054,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.3,0.04,0.02,0.06,0.04,0.06,35,13,4,0.34,0,0.000,0.000,0.000,,
,,,261,Mario Lemina,24,21,18,1613,1,1,0,0,5,0,0.06,0.06,0.11,0.06,0.11,1.2,1.2,0.4,0.07,0.02,0.09,0.07,0.09,50,37,4,0.22,0,0.000,0.279,0.000,,
,,,262,Aaron Lennon,31,16,14,1215,1,1,0,0,1,0,0.07,0.07,0.15,0.07,0.15,0.4,0.4,0.6,0.03,0.04,0.08,0.03,0.08,41,22,3,0.22,0,0.000,0.074,0.000,,
,,,263,Bernd Leno,26,32,31,2836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,42,6,0.19,0,0.000,0.000,0.000,,
,,,264,Jefferson Lerma,23,30,29,2506,2,0,0,0,12,0,0.07,0,0.07,0.07,0.07,1.1,1.1,0.9,0.04,0.03,0.07,0.04,0.07,75,49,9,0.32,0,0.000,0.431,0.000,,
,,,265,Stephan Lichtsteiner,34,14,10,938,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,14,18,0,0.00,0,0.000,0.288,0.000,,
,,,266,Victor Lindelöf,24,30,29,2601,1,1,0,0,1,0,0.03,0.03,0.07,0.03,0.07,0.6,0.6,1,0.02,0.03,0.06,0.02,0.06,85,40,6,0.21,0,0.000,0.035,0.000,,
,,,267,Jesse Lingard,25,27,19,1663,4,2,1,1,3,0,0.22,0.11,0.32,0.16,0.27,5,4.2,2.1,0.27,0.12,0.39,0.23,0.35,78,26,3,0.16,0,0.000,0.162,0.000,,
,,,268,Fernando Llorente,33,20,6,694,1,4,0,0,2,0,0.13,0.52,0.65,0.13,0.65,3,3,1.3,0.39,0.17,0.56,0.39,0.56,41,8,2,0.26,0,0.000,0.259,0.000,,
,,,269,Hugo Lloris,31,33,33,2970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,33,12,0.36,0,0.000,0.000,0.000,,
,,,270,Jürgen Locadia,24,26,12,1236,2,0,0,0,1,0,0.15,0,0.15,0.15,0.15,3.1,3.1,1,0.23,0.07,0.3,0.23,0.3,52,21,3,0.22,0,0.000,0.073,0.000,,
,,,271,Ruben Loftus-Cheek,22,24,6,998,6,2,0,0,0,0,0.54,0.18,0.72,0.54,0.72,2.9,2.9,1.4,0.26,0.13,0.39,0.26,0.39,79,9,5,0.45,0,0.000,0.000,0.000,,
,,,272,Kevin Long,27,6,5,514,0,1,0,0,0,0,0,0.18,0.18,0,0.18,0.1,0.1,0,0.01,0,0.01,0.01,0.01,16,9,1,0.18,0,0.000,0.000,0.000,,
,,,273,Shane Long,31,26,12,1272,5,1,0,0,3,0,0.35,0.07,0.42,0.35,0.42,4.6,4.6,1,0.32,0.07,0.4,0.32,0.4,66,24,2,0.14,0,0.000,0.212,0.000,,
,,,274,Sean Longstaff,20,9,8,687,1,0,0,0,2,0,0.13,0,0.13,0.13,0.13,0.4,0.4,0.7,0.06,0.09,0.15,0.06,0.15,26,9,3,0.39,0,0.000,0.262,0.000,,
,,,275,Ademola Lookman,20,21,3,618,0,2,0,0,0,0,0,0.29,0.29,0,0.29,1.2,1.2,1.2,0.18,0.18,0.36,0.18,0.36,34,8,1,0.15,0,0.000,0.000,0.000,,
,,,276,Jonas Lössl,29,31,30,2778,0,1,0,0,1,0,0,0.03,0.03,0,0.03,0,0,0.5,0,0.02,0.02,0,0.02,99,54,5,0.16,0,0.000,0.032,0.000,,
,,,277,Dejan Lovren,29,13,11,986,1,0,0,0,1,0,0.09,0,0.09,0.09,0.09,0.7,0.7,0.2,0.07,0.02,0.09,0.07,0.09,63,7,6,0.55,0,0.000,0.091,0.000,,
,,,278,Chris Löwe,29,29,23,2057,0,2,0,0,2,0,0,0.09,0.09,0,0.09,0.5,0.5,1.6,0.02,0.07,0.09,0.02,0.09,49,55,1,0.04,0,0.000,0.088,0.000,,
,,,279,Matthew Lowton,29,21,19,1750,0,0,0,0,7,0,0,0,0,0,0,0.5,0.5,0.6,0.02,0.03,0.06,0.02,0.06,34,41,4,0.21,0,0.000,0.360,0.000,,
,,,280,David Luiz,31,36,36,3238,3,2,0,0,3,0,0.08,0.06,0.14,0.08,0.14,1.9,1.9,2.7,0.05,0.08,0.13,0.05,0.13,164,36,16,0.44,0,0.000,0.083,0.000,,
,,,281,Romelu Lukaku,25,32,22,2136,12,0,0,0,4,0,0.51,0,0.51,0.51,0.51,11.1,11.1,2.7,0.47,0.11,0.58,0.47,0.58,115,38,4,0.17,0,0.000,0.169,0.000,,
,,,282,James Maddison,21,36,35,2831,7,7,1,2,4,1,0.22,0.22,0.45,0.19,0.41,7.4,5.9,7.1,0.24,0.23,0.46,0.19,0.41,137,44,8,0.25,1,0.032,0.127,0.032,,
,,,283,Gary Madine,27,5,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0.00,0,0.000,0.000,0.000,,
,,,284,Harry Maguire,25,31,31,2596,3,0,0,0,6,1,0.1,0,0.1,0.1,0.1,1.5,1.5,0.3,0.05,0.01,0.06,0.05,0.06,92,41,6,0.21,0,0.000,0.208,0.035,,
,,,285,Riyad Mahrez,27,27,14,1343,7,4,0,1,0,0,0.47,0.27,0.74,0.47,0.74,5.6,4.8,4.1,0.38,0.28,0.65,0.32,0.6,102,9,4,0.27,1,0.067,0.000,0.000,,
,,,286,Ainsley Maitland-Niles,20,16,11,987,1,1,0,0,2,1,0.09,0.09,0.18,0.09,0.18,0.9,0.9,1.2,0.08,0.11,0.19,0.08,0.19,34,20,2,0.18,0,0.000,0.182,0.091,,
,,,287,Sadio Mané,26,36,35,3077,22,1,0,0,2,0,0.64,0.03,0.67,0.64,0.67,16.1,16.1,4.4,0.47,0.13,0.6,0.47,0.6,231,21,19,0.56,0,0.000,0.058,0.000,,
,,,288,Javier Manquillo,24,18,12,1101,0,3,0,0,2,0,0,0.25,0.25,0,0.25,0.1,0.1,0.9,0.01,0.07,0.08,0.01,0.08,53,16,4,0.33,0,0.000,0.163,0.000,,
,,,289,Solly March,24,35,30,2463,1,5,0,0,1,0,0.04,0.18,0.22,0.04,0.22,2.6,2.6,3.8,0.09,0.14,0.23,0.09,0.23,94,40,6,0.22,0,0.000,0.037,0.000,,
,,,290,Adrian Mariappa,31,26,20,1927,0,0,0,0,3,0,0,0,0,0,0,0.8,0.8,0.7,0.04,0.03,0.07,0.04,0.07,57,32,5,0.23,0,0.000,0.140,0.000,,
,,,291,Lazar Markovic,24,1,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.06,0,0.06,1,1,0,0.00,0,0.000,0.000,0.000,,
,,,292,Anthony Martial,22,27,18,1621,10,2,1,1,2,0,0.56,0.11,0.67,0.5,0.61,6.1,5.4,2.8,0.34,0.15,0.49,0.3,0.45,122,25,5,0.28,0,0.000,0.111,0.000,,
,,,293,Adam Masina,24,14,11,1004,0,1,0,0,5,0,0,0.09,0.09,0,0.09,0.1,0.1,0.4,0.01,0.03,0.04,0.01,0.04,26,20,2,0.18,0,0.000,0.448,0.000,,
,,,294,Arthur Masuaku,24,23,19,1759,0,1,0,0,2,0,0,0.05,0.05,0,0.05,0.1,0.1,1.5,0,0.07,0.08,0,0.08,49,29,4,0.20,0,0.000,0.102,0.000,,
,,,295,Juan Mata,30,22,16,1289,3,2,0,0,3,0,0.21,0.14,0.35,0.21,0.35,1.5,1.5,3,0.11,0.21,0.31,0.11,0.31,70,15,5,0.35,0,0.000,0.209,0.000,,
,,,296,Nemanja Matic,29,28,28,2436,1,0,0,0,7,1,0.04,0,0.04,0.04,0.04,1.4,1.4,0.9,0.05,0.03,0.08,0.05,0.08,59,37,6,0.22,0,0.000,0.259,0.037,,
,,,297,Joel Matip,26,22,17,1537,1,0,0,0,3,0,0.06,0,0.06,0.06,0.06,0.5,0.5,0.1,0.03,0.01,0.04,0.03,0.04,83,12,9,0.53,0,0.000,0.176,0.000,,
,,,298,Konstantinos Mavropanos,20,4,3,148,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0.03,0.13,0.16,0.03,0.16,3,1,0,0.00,0,0.000,0.608,0.000,,
,,,299,Alfie Mawson,24,15,13,1131,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0,0.01,0,0.01,0.01,0.01,19,26,1,0.08,0,0.000,0.159,0.000,,
,,,300,Isaac Mbenza,22,22,10,986,1,1,0,0,1,0,0.09,0.09,0.18,0.09,0.18,1.1,1.1,0.8,0.1,0.07,0.17,0.1,0.17,38,25,0,0.00,0,0.000,0.091,0.000,,
,,,301,James McArthur,30,38,36,3058,3,6,0,0,7,0,0.09,0.18,0.26,0.09,0.26,5.4,5.4,3.3,0.16,0.1,0.26,0.16,0.26,121,49,11,0.32,0,0.000,0.206,0.000,,
,,,302,Alex McCarthy,28,25,25,2250,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,44,4,0.16,0,0.000,0.040,0.000,,
,,,303,James McCarthy,27,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00,0,0.000,0.000,0.000,,
,,,304,Kevin McDonald,29,15,10,841,0,0,0,0,5,1,0,0,0,0,0,0.1,0.1,0.1,0.01,0.01,0.02,0.01,0.02,17,27,0,0.00,0,0.000,0.535,0.107,,
,,,305,Dwight McNeil,18,21,19,1591,3,5,0,0,2,0,0.17,0.28,0.45,0.17,0.45,1.8,1.8,3.3,0.1,0.18,0.28,0.1,0.28,75,25,5,0.28,0,0.000,0.113,0.000,,
,,,306,Scott McTominay,21,16,9,867,2,0,0,0,1,0,0.21,0,0.21,0.21,0.21,1,1,0,0.11,0,0.11,0.11,0.11,38,18,1,0.10,0,0.000,0.104,0.000,,
,,,307,Ben Mee,28,38,38,3420,0,2,0,0,9,0,0,0.05,0.05,0,0.05,1.5,1.5,1.2,0.04,0.03,0.07,0.04,0.07,81,68,8,0.21,0,0.000,0.237,0.000,,
,,,308,Nathaniel Mendez-Laing,26,20,11,985,4,1,1,1,0,0,0.37,0.09,0.46,0.27,0.37,2.8,2.1,1.5,0.26,0.13,0.39,0.19,0.32,63,18,4,0.37,0,0.000,0.000,0.000,,
,,,309,Benjamin Mendy,24,10,10,900,0,5,0,0,1,0,0,0.5,0.5,0,0.5,0.2,0.2,1.3,0.02,0.13,0.15,0.02,0.15,59,6,4,0.40,0,0.000,0.100,0.000,,
,,,310,Nampalys Mendy,26,31,23,2092,0,0,0,0,5,0,0,0,0,0,0,0.1,0.1,0.2,0,0.01,0.01,0,0.01,58,29,7,0.30,0,0.000,0.215,0.000,,
,,,311,Chris Mepham,20,13,10,850,0,1,0,0,1,0,0,0.11,0.11,0,0.11,0,0,0,0,0,0,0,0,27,17,2,0.21,0,0.000,0.106,0.000,,
,,,312,Max Meyer,22,29,15,1416,1,2,0,0,3,0,0.06,0.13,0.19,0.06,0.19,2.2,2.2,1.2,0.14,0.08,0.22,0.14,0.22,60,24,6,0.38,0,0.000,0.191,0.000,,
,,,313,Luka Milivojevic,27,38,38,3420,12,2,10,11,10,0,0.32,0.05,0.37,0.05,0.11,11.1,2.7,3,0.29,0.08,0.37,0.07,0.15,166,53,12,0.32,1,0.026,0.263,0.000,,
,,,314,James Milner,32,31,19,1789,5,4,3,3,6,1,0.25,0.2,0.45,0.1,0.3,3.9,1.7,4.8,0.2,0.24,0.44,0.08,0.33,101,13,9,0.45,0,0.000,0.302,0.050,,
,,,315,Yerry Mina,23,13,10,892,1,0,0,0,3,0,0.1,0,0.1,0.1,0.1,0.4,0.4,0.2,0.04,0.02,0.06,0.04,0.06,36,13,3,0.30,0,0.000,0.303,0.000,,
,,,316,Tyrone Mings,25,5,2,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0.00,0,0.000,0.000,0.000,,
,,,317,Aleksandar Mitrovic,23,37,37,3280,11,3,1,1,7,0,0.3,0.08,0.38,0.27,0.36,14.6,13.9,2.5,0.4,0.07,0.47,0.38,0.45,134,78,5,0.14,0,0.000,0.192,0.000,,
,,,318,Henrikh Mkhitaryan,29,25,19,1641,6,4,0,0,1,0,0.33,0.22,0.55,0.33,0.55,4.6,4.6,4.3,0.25,0.24,0.49,0.25,0.49,98,26,3,0.16,0,0.000,0.055,0.000,,
,,,319,Nacho Monreal,32,22,21,1861,1,3,0,0,5,0,0.05,0.15,0.19,0.05,0.19,1.3,1.3,1.3,0.06,0.06,0.13,0.06,0.13,77,24,5,0.24,0,0.000,0.242,0.000,,
,,,320,Martín Montoya,27,25,24,2167,0,1,0,0,4,0,0,0.04,0.04,0,0.04,0.2,0.2,1.1,0.01,0.05,0.05,0.01,0.05,45,41,3,0.12,0,0.000,0.166,0.000,,
,,,321,Aaron Mooy,27,29,25,2330,3,1,1,1,4,0,0.12,0.04,0.15,0.08,0.12,2.4,1.6,2.8,0.09,0.11,0.2,0.06,0.17,76,48,3,0.12,0,0.000,0.155,0.000,,
,,,322,Álvaro Morata,25,16,11,941,5,0,0,0,3,0,0.48,0,0.48,0.48,0.48,6.3,6.3,0.2,0.6,0.02,0.62,0.6,0.62,46,11,6,0.57,0,0.000,0.287,0.000,,
,,,323,Alberto Moreno,26,2,2,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.01,0.12,0.13,0.01,0.13,4,2,0,0.00,0,0.000,0.000,0.000,,
,,,324,Wes Morgan,34,22,21,1925,3,0,0,0,3,2,0.14,0,0.14,0.14,0.14,1.9,1.9,0.2,0.09,0.01,0.1,0.09,0.1,76,28,6,0.28,0,0.000,0.140,0.094,,
,,,325,Sean Morrison,27,34,34,3039,1,3,0,0,6,0,0.03,0.09,0.12,0.03,0.12,4.2,4.2,2.5,0.13,0.07,0.2,0.13,0.2,97,63,9,0.27,0,0.000,0.178,0.000,,
,,,326,Victor Moses,27,2,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0.00,0,0.000,0.000,0.000,,
,,,327,Steve Mounie,23,31,19,1778,2,3,0,0,1,1,0.1,0.15,0.25,0.1,0.25,5.3,5.3,1.6,0.27,0.08,0.35,0.27,0.35,69,38,5,0.25,0,0.000,0.051,0.051,,
,,,328,Lucas Moura,25,32,25,2121,10,0,0,0,3,0,0.42,0,0.42,0.42,0.42,5.4,5.4,1.9,0.23,0.08,0.31,0.23,0.31,131,18,14,0.59,0,0.000,0.127,0.000,,
,,,329,Lys Mousset,22,24,1,368,1,0,0,0,1,0,0.24,0,0.24,0.24,0.24,1.7,1.7,0.5,0.42,0.12,0.54,0.42,0.54,28,15,0,0.00,0,0.000,0.245,0.000,,
,,,330,Joao Moutinho,31,38,35,3032,1,8,0,0,4,0,0.03,0.24,0.27,0.03,0.27,0.6,0.6,5.7,0.02,0.17,0.19,0.02,0.19,119,39,9,0.27,0,0.000,0.119,0.000,,
,,,331,Jacob Murphy,23,9,3,302,0,1,0,0,0,0,0,0.3,0.3,0,0.3,0,0,0.4,0.01,0.12,0.14,0.01,0.14,16,8,1,0.30,0,0.000,0.000,0.000,,
,,,332,Josh Murphy,23,29,22,1817,3,2,0,0,2,0,0.15,0.1,0.25,0.15,0.25,3.4,3.4,3,0.17,0.15,0.31,0.17,0.31,76,32,7,0.35,0,0.000,0.099,0.000,,
,,,333,Glenn Murray,34,38,30,2508,13,1,4,4,5,0,0.47,0.04,0.5,0.32,0.36,10.4,7.4,0.8,0.37,0.03,0.4,0.27,0.29,129,45,4,0.14,0,0.000,0.179,0.000,,
,,,334,Shkodran Mustafi,26,31,31,2611,2,0,0,0,9,0,0.07,0,0.07,0.07,0.07,1.3,1.3,0.2,0.04,0.01,0.05,0.04,0.05,80,40,6,0.21,0,0.000,0.310,0.000,,
,,,335,Yoshinori Muto,26,17,5,524,1,0,0,0,1,0,0.17,0,0.17,0.17,0.17,0.8,0.8,0.3,0.14,0.06,0.19,0.14,0.19,24,10,1,0.17,0,0.000,0.172,0.000,,
,,,336,Georges-Kevin N'Koudou,23,1,0,5,0,1,0,0,0,0,0,18,18,0,18,0,0,0.2,0,4.2,4.2,0,4.2,4,0,0,0.00,0,0.000,0.000,0.000,,
,,,337,Samir Nasri,31,5,3,245,0,2,0,0,0,0,0,0.73,0.73,0,0.73,0.2,0.2,0.8,0.08,0.28,0.36,0.08,0.36,14,2,1,0.37,0,0.000,0.000,0.000,,
,,,338,Marc Navarro,23,2,1,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0.00,0,0.000,0.000,0.000,,
,,,339,Wilfred Ndidi,21,38,37,3296,2,0,0,0,8,0,0.05,0,0.05,0.05,0.05,3.3,3.3,1.5,0.09,0.04,0.13,0.09,0.13,89,47,9,0.25,0,0.000,0.218,0.000,,
,,,340,Ruben Neves,21,35,34,3007,4,3,2,2,8,0,0.12,0.09,0.21,0.06,0.15,3.6,2.1,1.4,0.11,0.04,0.15,0.06,0.1,104,43,8,0.24,0,0.000,0.239,0.000,,
,,,341,Oumar Niasse,28,5,0,63,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.67,0.21,0.88,0.67,0.88,30,13,5,7.14,0,0.000,0.000,0.000,,
,,,342,Oumar Niasse,28,13,12,931,0,0,0,0,0,0,0,0,0,0,0,2.9,2.9,0.4,0.28,0.04,0.32,0.28,0.32,30,13,5,0.48,0,0.000,0.000,0.000,,
,,,343,Eddie Nketiah,19,5,0,67,1,0,0,0,0,0,1.34,0,1.34,1.34,1.34,0.2,0.2,0.1,0.26,0.16,0.42,0.26,0.42,10,3,0,0.00,0,0.000,0.000,0.000,,
,,,344,Mark Noble,31,31,29,2291,5,5,4,4,6,1,0.2,0.2,0.39,0.04,0.24,3.8,0.7,2.4,0.15,0.09,0.24,0.03,0.12,99,31,7,0.27,0,0.000,0.236,0.039,,
,,,345,Håvard Nordtveit,28,5,4,362,0,1,0,0,0,0,0,0.25,0.25,0,0.25,0,0,0.2,0,0.05,0.05,0,0.05,8,10,0,0.00,0,0.000,0.000,0.000,,
,,,346,Will Norris,24,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00,0,0.000,0.000,0.000,,
,,,347,Michael Obafemi,18,6,1,137,1,1,0,0,1,0,0.66,0.66,1.31,0.66,1.31,1.8,1.8,0.2,1.17,0.15,1.32,1.17,1.32,13,3,0,0.00,0,0.000,0.657,0.000,,
,,,348,Pedro Obiang,26,24,12,1128,0,1,0,0,0,0,0,0.08,0.08,0,0.08,0.7,0.7,0.4,0.06,0.03,0.09,0.06,0.09,43,21,2,0.16,0,0.000,0.000,0.000,,
,,,349,Denis Odoi,30,31,29,2594,0,1,0,0,4,0,0,0.03,0.03,0,0.03,0.8,0.8,0.7,0.03,0.03,0.05,0.03,0.05,44,62,3,0.10,0,0.000,0.139,0.000,,
,,,350,Angelo Ogbonna,30,24,20,1874,1,1,0,0,2,0,0.05,0.05,0.1,0.05,0.1,1.3,1.3,0.5,0.06,0.02,0.08,0.06,0.08,48,36,2,0.10,0,0.000,0.096,0.000,,
,,,351,Stefano Okaka,28,2,0,24,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0.2,1.61,0.84,2.45,1.61,2.45,1,1,0,0.00,0,0.000,3.750,0.000,,
,,,352,Shinji Okazaki,32,21,1,288,0,1,0,0,0,0,0,0.31,0.31,0,0.31,0.3,0.3,0.3,0.1,0.08,0.18,0.1,0.18,25,4,0,0.00,0,0.000,0.000,0.000,,
,,,353,Divock Origi,23,12,4,371,3,1,0,0,0,0,0.73,0.24,0.97,0.73,0.97,2,2,0.2,0.49,0.04,0.53,0.49,0.53,32,2,3,0.73,0,0.000,0.000,0.000,,
,,,354,Nicolás Otamendi,30,18,14,1236,0,0,0,0,1,0,0,0,0,0,0,1.2,1.2,0.2,0.09,0.01,0.1,0.09,0.1,70,7,9,0.66,0,0.000,0.073,0.000,,
,,,355,Alex Oxlade-Chamberlain,24,2,0,21,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,1.29,0.1,1.38,1.29,1.38,2,0,0,0.00,0,0.000,0.000,0.000,,
,,,356,Mesut Özil,29,24,20,1735,5,2,0,0,2,0,0.26,0.1,0.36,0.26,0.36,1.6,1.6,5.6,0.08,0.29,0.37,0.08,0.37,89,24,5,0.26,0,0.000,0.104,0.000,,
,,,357,Emerson Palmieri,23,10,7,663,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.6,0.03,0.08,0.11,0.03,0.11,22,11,2,0.27,0,0.000,0.000,0.000,,
,,,358,Sokratis Papastathopoulos,30,25,25,2198,1,2,0,0,12,0,0.04,0.08,0.12,0.04,0.12,0.8,0.8,0.5,0.03,0.02,0.05,0.03,0.05,64,33,5,0.20,0,0.000,0.491,0.000,,
,,,359,Callum Paterson,23,27,21,1998,4,1,1,1,4,0,0.18,0.05,0.23,0.14,0.18,5.4,4.6,2,0.24,0.09,0.33,0.21,0.3,80,41,5,0.23,0,0.000,0.180,0.000,,
,,,360,Rui Patricio,30,37,37,3329,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,46,8,0.22,0,0.000,0.027,0.000,,
,,,361,Pedro Rodriguez Ledesma,31,31,21,1778,8,2,0,0,2,0,0.4,0.1,0.51,0.4,0.51,6.9,6.9,2.9,0.35,0.15,0.5,0.35,0.5,112,19,7,0.35,0,0.000,0.101,0.000,,
,,,362,Lee Peltier,31,20,17,1544,0,0,0,0,4,0,0,0,0,0,0,0.1,0.1,0,0,0,0.01,0,0.01,43,26,5,0.29,0,0.000,0.233,0.000,,
,,,363,Andreas Pereira,22,15,6,599,1,1,0,0,5,0,0.15,0.15,0.3,0.15,0.3,0.3,0.3,0.8,0.04,0.12,0.16,0.04,0.16,27,13,1,0.15,0,0.000,0.751,0.000,,
,,,364,Ricardo Pereira,24,35,35,3123,2,6,0,0,7,0,0.06,0.17,0.23,0.06,0.23,1.5,1.5,4.3,0.04,0.12,0.17,0.04,0.17,146,45,10,0.29,0,0.000,0.202,0.000,,
,,,365,Roberto Pereyra,27,33,33,2815,6,1,0,0,3,0,0.19,0.03,0.22,0.19,0.22,5.1,5.1,3.4,0.16,0.11,0.27,0.16,0.27,122,53,6,0.19,0,0.000,0.096,0.000,,
,,,366,Ayoze Pérez,25,37,34,2917,12,2,0,0,2,0,0.37,0.06,0.43,0.37,0.43,7.5,7.5,3.6,0.23,0.11,0.34,0.23,0.34,141,35,11,0.34,0,0.000,0.062,0.000,,
,,,367,Lucas Pérez,29,15,4,475,3,0,0,0,0,0,0.57,0,0.57,0.57,0.57,1.9,1.9,0.8,0.36,0.15,0.51,0.36,0.51,33,13,0,0.00,0,0.000,0.000,0.000,,
,,,368,Jordan Pickford,24,38,38,3420,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,46,14,0.37,0,0.000,0.026,0.000,,
,,,369,Paul Pogba,25,35,34,3006,13,9,7,10,6,0,0.39,0.27,0.66,0.18,0.45,14.5,6.8,5.3,0.43,0.16,0.59,0.2,0.36,179,43,8,0.24,3,0.090,0.180,0.000,,
,,,370,Alex Pritchard,25,30,26,2081,2,0,0,0,2,0,0.09,0,0.09,0.09,0.09,3.4,3.4,2,0.15,0.09,0.24,0.15,0.24,69,40,7,0.30,0,0.000,0.086,0.000,,
,,,371,Sebastian Prödl,31,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00,0,0.000,0.000,0.000,,
,,,372,Davy Pröpper,26,30,30,2546,1,1,0,0,2,0,0.04,0.04,0.07,0.04,0.07,1.1,1.1,1,0.04,0.04,0.08,0.04,0.08,72,45,4,0.14,0,0.000,0.071,0.000,,
,,,373,Jason Puncheon,32,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.16,0,0.16,15,9,1,6.92,0,0.000,0.000,0.000,,
,,,374,Jason Puncheon,32,6,5,382,0,0,0,0,1,0,0,0,0,0,0,0.7,0.7,0.8,0.16,0.19,0.35,0.16,0.35,15,9,1,0.24,0,0.000,0.236,0.000,,
,,,375,Collin Quaner,27,2,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.22,0.22,0,0.22,2,2,0,0.00,0,0.000,0.000,0.000,,
,,,376,Domingos Quina,18,8,3,338,1,0,0,0,0,0,0.27,0,0.27,0.27,0.27,0.2,0.2,0.1,0.04,0.03,0.08,0.04,0.08,17,5,0,0.00,0,0.000,0.000,0.000,,
,,,377,Joe Ralls,24,28,22,1959,0,0,0,1,4,1,0,0,0,0,0,1.6,0.8,2,0.07,0.09,0.16,0.04,0.13,45,40,5,0.23,1,0.046,0.184,0.046,,
,,,378,Aaron Ramsey,27,28,14,1331,4,6,0,0,0,0,0.27,0.41,0.68,0.27,0.68,3.2,3.2,2.4,0.22,0.16,0.38,0.22,0.38,91,13,9,0.61,0,0.000,0.000,0.000,,
,,,379,Kayne Ramsay,17,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0.00,0,0.000,0.000,0.000,,
,,,380,Marcus Rashford,20,33,26,2334,10,6,0,0,3,1,0.39,0.23,0.62,0.39,0.62,9.4,9.4,4.4,0.36,0.17,0.53,0.36,0.53,128,35,6,0.23,0,0.000,0.116,0.039,,
,,,381,Tim Ream,30,26,25,2047,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,49,5,0.22,0,0.000,0.044,0.000,,
,,,382,Nathan Redmond,24,38,36,3270,6,4,0,0,3,0,0.17,0.11,0.28,0.17,0.28,6.3,6.3,5.4,0.17,0.15,0.32,0.17,0.32,137,58,9,0.25,0,0.000,0.083,0.000,,
,,,383,Bobby Reid,25,27,16,1424,5,2,1,1,0,0,0.32,0.13,0.44,0.25,0.38,4.4,3.7,1,0.28,0.06,0.34,0.23,0.29,80,30,4,0.25,0,0.000,0.000,0.000,,
,,,384,Declan Rice,19,34,34,3003,2,0,0,0,4,0,0.06,0,0.06,0.06,0.06,1.4,1.4,0.5,0.04,0.01,0.06,0.04,0.06,92,47,6,0.18,0,0.000,0.120,0.000,,
,,,385,Jazz Richards,27,4,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0.00,0,0.000,0.000,0.000,,
