Legend:,,,,Player,Age,MP,Start,Min,Gls,A,PK,PKatt,CrdY,CrdR,G*,A*,G*+A*,G*-PK*,G*+A*-PK*,xG,NPxG,xA,xG*,xA*,xG*+xA*,NPxG*,NPxG*+xA*,Total Points,Conceded,CleanSheets,CleanSheets*,PenMiss,PenMiss*,YC*,RC*,,
,,,39,Michy Batshuayi,24,11,9,750,5,0,0,0,0,0,0.6,0,0.6,0.6,0.6,3.5,3.5,0.1,0.42,0.01,0.43,0.42,0.43,48,11,3,0.36,0,0.000,0.000,0.000,,
,,,40,Jan Bednarek,22,25,24,2151,0,1,0,0,7,0,0,0.04,0.04,0,0.04,0.6,0.6,0.4,0.03,0.02,0.05,0.03,0.05,49,37,3,0.13,0,0.000,0.293,0.000,,
,,,41,Asmir Begovic,31,24,24,2160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,47,5,0.21,0,0.000,0.000,0.000,,
,,,42,Héctor Bellerín,23,19,18,1533,0,5,0,0,3,0,0,0.29,0.29,0,0.29,0.9,0.9,2.1,0.05,0.12,0.18,0.05,0.18,60,21,4,0.23,0,0.000,0.176,0.000,,
,,,43,Joe Bennett,28,30,30,2639,0,1,0,0,5,0,0,0.03,0.03,0,0.03,0.5,0.5,1.1,0.02,0.04,0.06,0.02,0.06,77,50,9,0.31,0,0.000,0.171,0.000,,
,,,44,Ryan Bennett,28,34,34,3060,1,0,0,0,12,0,0.03,0,0.03,0.03,0.03,1.2,1.2,0.4,0.04,0.01,0.05,0.04,0.05,89,38,9,0.26,0,0.000,0.353,0.000,,
,,,45,Christian Benteke,27,16,9,814,1,1,0,0,1,0,0.11,0.11,0.22,0.11,0.22,3.3,3.3,1.3,0.36,0.14,0.51,0.36,0.51,33,13,3,0.33,0,0.000,0.111,0.000,,
,,,46,Johann Berg Gudmundsson,27,29,19,1752,3,6,0,0,2,0,0.15,0.31,0.46,0.15,0.46,2.9,2.9,3.8,0.15,0.2,0.35,0.15,0.35,92,39,5,0.26,0,0.000,0.103,0.000,,
,,,47,Bernard Anicio Caldeira Duarte,25,34,25,2116,1,3,0,0,5,0,0.04,0.13,0.17,0.04,0.17,2.6,2.6,3.2,0.11,0.14,0.25,0.11,0.25,88,19,13,0.55,0,0.000,0.213,0.000,,
,,,48,Bernardo Fernandes da Silva Junior,23,22,19,1752,0,1,0,0,4,0,0,0.05,0.05,0,0.05,0.4,0.4,0.9,0.02,0.05,0.07,0.02,0.07,39,29,2,0.10,0,0.000,0.205,0.000,,
,,,49,Ryan Bertrand,28,24,24,2160,1,0,0,0,8,0,0.04,0,0.04,0.04,0.04,0.9,0.9,1.9,0.04,0.08,0.11,0.04,0.11,56,42,6,0.25,0,0.000,0.333,0.000,,
,,,50,Marcus Bettinelli,26,7,7,630,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,20,0,0.00,0,0.000,0.143,0.000,,
,,,51,Philip Billing,22,27,25,2188,2,0,0,0,7,0,0.08,0,0.08,0.08,0.08,1.8,1.8,1.1,0.08,0.05,0.12,0.08,0.12,63,43,5,0.21,0,0.000,0.288,0.000,,
,,,52,Yves Bissouma,21,28,17,1774,0,0,0,0,5,0,0,0,0,0,0,1.6,1.6,1.1,0.08,0.06,0.14,0.08,0.14,43,32,3,0.15,0,0.000,0.254,0.000,,
,,,53,Willy Boly,27,36,36,3167,4,0,0,0,2,1,0.11,0,0.11,0.11,0.11,2.7,2.7,0.9,0.08,0.03,0.1,0.08,0.1,120,43,8,0.23,0,0.000,0.057,0.028,,
,,,54,Leo Bonatini,24,7,0,135,0,1,0,0,0,0,0,0.67,0.67,0,0.67,1.5,1.5,0.3,0.99,0.18,1.17,0.99,1.17,10,0,0,0.00,0,0.000,0.000,0.000,,
,,,55,Gaëtan Bong,30,22,19,1808,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.6,0,0.03,0.03,0,0.03,48,34,5,0.25,0,0.000,0.000,0.000,,
,,,56,Artur Boruc,38,12,12,1080,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,18,4,0.33,0,0.000,0.167,0.000,,
,,,57,Robbie Brady,26,16,6,720,0,1,0,0,3,1,0,0.12,0.12,0,0.12,0.7,0.7,1.4,0.08,0.18,0.26,0.08,0.26,20,17,1,0.13,0,0.000,0.375,0.125,,
,,,58,Miguel Britos,33,3,2,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0.00,0,0.000,0.000,0.000,,
,,,59,David Brooks,21,30,29,2261,7,5,0,0,3,0,0.28,0.2,0.48,0.28,0.48,5.7,5.7,3.7,0.23,0.15,0.37,0.23,0.37,123,41,9,0.36,0,0.000,0.119,0.000,,
,,,60,Bruno Saltor Grau,37,14,14,1131,0,1,0,0,2,0,0,0.08,0.08,0,0.08,0.1,0.1,0.3,0.01,0.02,0.03,0.01,0.03,46,17,4,0.32,0,0.000,0.159,0.000,,
,,,61,Joe Bryan,24,28,27,2345,0,1,0,0,5,0,0,0.04,0.04,0,0.04,0.7,0.7,2.6,0.03,0.1,0.12,0.03,0.12,52,54,5,0.19,0,0.000,0.192,0.000,,
,,,62,David Button,29,4,4,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,1,0.25,0,0.000,0.000,0.000,,
,,,63,Willy Caballero,36,2,2,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,1.00,0,0.000,0.000,0.000,,
,,,64,Gary Cahill,32,2,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.00,0,0.000,0.000,0.000,,
,,,65,Tom Cairney,27,31,24,2194,1,1,0,0,0,0,0.04,0.04,0.08,0.04,0.08,1.1,1.1,2.9,0.04,0.12,0.16,0.04,0.16,71,51,5,0.21,0,0.000,0.000,0.000,,
,,,66,Dominic Calvert-Lewin,21,35,19,1784,6,2,0,0,3,0,0.3,0.1,0.4,0.3,0.4,5.2,5.1,1.1,0.26,0.06,0.32,0.26,0.31,92,26,8,0.40,0,0.000,0.151,0.000,,
,,,67,Rafael Camacho,18,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.00,0,0.000,0.000,0.000,,
,,,68,Víctor Camarasa,24,32,31,2569,5,4,0,0,6,0,0.18,0.14,0.32,0.18,0.32,2.7,2.7,3.3,0.1,0.11,0.21,0.1,0.21,106,53,9,0.32,0,0.000,0.210,0.000,,
,,,69,Etienne Capoue,30,33,33,2944,1,3,0,0,14,1,0.03,0.09,0.12,0.03,0.12,1,1,0.9,0.03,0.03,0.06,0.03,0.06,79,48,8,0.24,0,0.000,0.428,0.031,,
,,,70,Andy Carroll,29,12,3,461,0,0,0,0,2,0,0,0,0,0,0,1.9,1.9,0.2,0.36,0.03,0.39,0.36,0.39,12,7,0,0.00,0,0.000,0.390,0.000,,
,,,71,Jonny Castro,24,33,32,2771,1,1,0,0,6,0,0.03,0.03,0.06,0.03,0.06,2,2,1.5,0.07,0.05,0.11,0.07,0.11,103,39,8,0.26,0,0.000,0.195,0.000,,
,,,72,Craig Cathcart,29,36,35,3096,3,0,0,0,2,0,0.09,0,0.09,0.09,0.09,1.8,1.8,0.4,0.05,0.01,0.07,0.05,0.07,93,54,6,0.17,0,0.000,0.058,0.000,,
,,,73,Ivan Cavaleiro,24,23,6,693,3,1,0,0,1,0,0.39,0.13,0.52,0.39,0.52,2.2,2.2,1.5,0.29,0.2,0.48,0.29,0.48,48,11,1,0.13,0,0.000,0.130,0.000,,
,,,74,Petr Cech,36,7,7,584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,9,1,0.15,0,0.000,0.000,0.000,,
,,,75,Nathaniel Chalobah,23,9,3,270,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0,0.05,0,0.05,0.05,0.05,10,7,0,0.00,0,0.000,0.667,0.000,,
,,,76,Calum Chambers,23,31,29,2588,2,0,0,0,9,0,0.07,0,0.07,0.07,0.07,2.2,2.2,0.7,0.08,0.02,0.1,0.08,0.1,60,52,5,0.17,0,0.000,0.313,0.000,,
,,,77,Ben Chilwell,21,36,36,3240,0,4,0,0,4,0,0,0.11,0.11,0,0.11,0.8,0.8,3,0.02,0.08,0.11,0.02,0.11,118,43,10,0.28,0,0.000,0.111,0.000,,
,,,78,Tahith Chong,18,2,0,38,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.18,0,0.18,0.18,0.18,2,1,0,0.00,0,0.000,0.000,0.000,,
,,,79,Hamza Choudhury,20,9,7,595,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.06,0.07,0.13,0.06,0.13,20,4,4,0.61,0,0.000,0.000,0.000,,
,,,80,Andreas Christensen,22,8,6,617,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,7,3,0.44,0,0.000,0.146,0.000,,
,,,81,Cyrus Christie,25,28,19,1948,0,1,0,0,7,0,0,0.05,0.05,0,0.05,0.5,0.5,1.4,0.02,0.07,0.09,0.02,0.09,42,42,3,0.14,0,0.000,0.323,0.000,,
,,,82,Ibrahima Cissé,24,3,1,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0.00,0,0.000,0.000,0.000,,
,,,83,Ciaran Clark,28,11,9,858,3,0,0,0,1,0,0.31,0,0.31,0.31,0.31,0.4,0.4,0.4,0.04,0.04,0.08,0.04,0.08,42,15,2,0.21,0,0.000,0.105,0.000,,
,,,84,Tom Cleverley,28,13,4,478,1,0,0,0,2,0,0.19,0,0.19,0.19,0.19,0.2,0.2,0,0.04,0,0.04,0.04,0.04,25,7,3,0.56,0,0.000,0.377,0.000,,
,,,85,Nathaniel Clyne,27,4,1,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.04,0.04,0.04,34,26,3,2.43,0,0.000,0.000,0.000,,
,,,86,Nathaniel Clyne,27,14,13,1143,0,1,0,0,2,0,0,0.08,0.08,0,0.08,0.3,0.3,0.2,0.02,0.02,0.04,0.02,0.04,34,26,3,0.24,0,0.000,0.157,0.000,,
,,,87,Conor Coady,25,38,38,3420,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,46,9,0.24,0,0.000,0.132,0.000,,
